HPNR,Leistungstyp,Heilmittelbereich,Leistungserbringer,Grundlage,Leistungsart,Leistung,gültig ab,gültig bis,Eigentümer
10501,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,"Krankengymnastik, normal, EB",Allgemeine Krankengymnastik (KG) (auch auf neurophysiologischer Grundlage): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
20501,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,"Krankengymnastik, normal, EB",Allgemeine Krankengymnastik (KG) (auch auf neurophysiologischer Grundlage): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
60501,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,"Krankengymnastik, normal, EB",Allgemeine Krankengymnastik (KG) (auch auf neurophysiologischer Grundlage): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
80501,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,"Krankengymnastik, normal, EB",Allgemeine Krankengymnastik (KG) (auch auf neurophysiologischer Grundlage): Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
10502,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik einschl. erforderlicher Massage",1900-01-01,9999-12-31,
20502,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik einschl. erforderlicher Massage",1900-01-01,9999-12-31,
60502,Heilmittel,Physiotherapie,Krankenhaus,,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik einschl. erforderlicher Massage",1900-01-01,9999-12-31,
80502,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik einschl. erforderlicher Massage",1900-01-01,9999-12-31,
10503,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik, auch auf neurophysiologischer Grundlage einschl. erforderl Massagen",1900-01-01,9999-12-31,
20503,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik, auch auf neurophysiologischer Grundlage einschl. erforderl Massagen",1900-01-01,9999-12-31,
60503,Heilmittel,Physiotherapie,Krankenhaus,,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik, auch auf neurophysiologischer Grundlage einschl. erforderl Massagen",1900-01-01,9999-12-31,
80503,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Krankengymnastik, normal, EB","KG, auch Atemgymnastik, auch auf neurophysiologischer Grundlage einschl. erforderl Massagen",1900-01-01,9999-12-31,
10504,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Krankengymnastik, normal, EB",Krankengymnastische Behandlung mit Eisanwendung einschl. erforderl. Massagen,1900-01-01,9999-12-31,
